Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
YY1	0	0	100	-100	T
TCF4	0	100	0	100	T
JUNB	0	0	100	-100	T
SP1	0	100	0	100	T
MYOD1	0	100	0	100	T
TEAD4	0	0	100	-100	T
MEF2C	0	100	0	100	T
HBP1	0	100	0	100	T
NR4A1	0	0	100	-100	T
FOS	0	0	100	-100	T
NR5A2	0	0	100	-100	T
NR2F1	0	0	100	-100	T
ETS1	0	0	100	-100	T
FOXO1	0	100	0	100	T
TFAP2A	0	0	100	-100	T
TEAD1	0	100	0	100	T
IRF3	0	0	100	-100	T
SP3	0	0	100	-100	T
TP73	0	100	0	100	T
SREBF2	0	100	0	100	T
USF2	0	0	100	-100	T
MNT	0	100	0	100	T
HNF4A	0	100	0	100	T
BCL6	0	100	0	100	T
ZBTB7A	0	100	0	100	T
BCL11A	0	100	0	100	T
TAF1	0	0	100	-100	T
PKNOX1	0	0	100	-100	T
KLF13	0	100	0	100	T
MXI1	0	100	0	100	T
CEBPA	0	100	0	100	T
KMT2A	0	0	100	-100	T
SOX2	0	100	0	100	T
ZEB1	0	100	0	100	T
USF1	0	0	100	-100	T
TFDP1	0	100	0	100	T
MAF	0	0	100	-100	T
MAPK14	0	100	0	100	I
MAPK3	0	100	0	100	I
MAPK1	0	0	100	-100	I
AKT1	0	100	0	100	I
ATR	0	0	100	-100	I
E2F1	100	0	0	0	I
MYC	100	0	0	0	I
E2F2	100	0	0	0	I
PAX6	0	0	100	-100	I
E2F3	100	0	0	0	I
ATF2	100	0	0	0	I
KAT2B	0	100	0	100	I
HIF1A	100	0	0	0	I
PARP1	0	100	0	100	I
MAP3K5	100	0	0	0	I
JUN	100	0	0	0	I
RB1	100	0	0	0	I
SIRT1	0	100	0	100	I
MAPK11	0	0	100	-100	I
AURKB	0	0	100	-100	I
YAP1	0	0	100	-100	I
NFYA	100	0	0	0	I
SPI1	100	0	0	0	I
MET	100	0	0	0	I
TNF	100	0	0	0	I
MAPK9	0	100	0	100	I
TGFB1	100	0	0	0	I
MAX	0	100	0	100	I
LRP6	0	100	0	100	I
TGFB2	100	0	0	0	I
RXRB	0	100	0	100	I
NR2F2	0	100	0	100	I
ANP32A	100	0	0	0	I
TRIP11	100	0	0	0	I
CDK4	0	0	100	-100	I
PIK3CA	0	100	0	100	I
RBL1	100	0	0	0	I
CASP7	100	0	0	0	I
TBP	100	0	0	0	I
CCNB1	100	0	0	0	I
SMARCC2	0	0	100	-100	I
PROX1	0	100	0	100	I
SFTPD	100	0	0	0	I
NFYC	100	0	0	0	I
NFYB	100	0	0	0	I
NS1	0	100	0	100	S
MYL1	100	0	0	0	I
UBTF	100	0	0	0	I
BRD2	100	0	0	0	I
POLR1B	100	0	0	0	I
BGLAP	100	0	0	0	I
