Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
MEF2A	0	100	0	100	T
HOXB13	0	100	0	100	T
CEBPA	0	100	0	100	T
USF2	0	100	0	100	T
BHLHE40	0	0	100	-100	T
IKZF1	0	100	0	100	T
NR2F1	0	0	100	-100	T
NONO	0	100	0	100	T
ONECUT1	0	100	0	100	T
SP1	0	0	100	-100	T
MYOD1	0	100	0	100	T
TAF1	0	100	0	100	T
IRF1	0	0	100	-100	T
YY1	0	0	100	-100	T
NFYB	0	0	100	-100	T
MAP3K8	0	100	0	100	I
SFPQ	0	100	0	100	I
CREBBP	0	0	100	-100	I
RB1	0	0	100	-100	I
NFKB1	0	0	100	-100	I
EFNA1	0	0	100	-100	I
NR0B2	0	0	100	-100	I
NR2F2	0	0	100	-100	I
NR4A1	0	0	100	-100	I
ALK	0	0	100	-100	I
NFATC2	0	100	0	100	I
ARNT	0	0	100	-100	I
SREBF1	0	0	100	-100	I
NS1	0	100	0	100	S
