Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
FOXP1	0	100	0	100	T
SREBF1	0	0	100	-100	T
JUN	0	100	0	100	T
NR1H2	0	0	100	-100	T
AHR	0	0	100	-100	T
ZBTB7A	0	100	0	100	T
ETS1	0	0	100	-100	T
TP53	0	100	0	100	T
STAT3	0	0	100	-100	T
ZEB2	0	100	0	100	T
EBF1	0	0	100	-100	T
ARNT	0	0	100	-100	T
KLF5	0	0	100	-100	T
TEAD2	0	0	100	-100	T
EGR1	0	0	100	-100	T
TCF12	0	0	100	-100	T
NFATC1	0	0	100	-100	T
PBX3	0	0	100	-100	T
TFAP4	0	0	100	-100	T
YY1	0	0	100	-100	T
KDM5B	0	0	100	-100	T
TEAD1	0	0	100	-100	T
MITF	0	0	100	-100	T
IRF4	0	0	100	-100	T
FOXK2	0	0	100	-100	T
FOXO1	0	100	0	100	T
NANOG	0	100	0	100	T
MTA2	0	100	0	100	T
MYC	0	100	0	100	T
CREM	0	100	0	100	T
HNF1B	0	100	0	100	T
HNF4A	0	100	0	100	T
KLF13	0	100	0	100	T
HSF1	0	100	0	100	T
GATA2	0	100	0	100	T
KLF1	0	100	0	100	T
SOX2	0	0	100	-100	T
SP4	0	0	100	-100	T
SP3	0	0	100	-100	T
IKZF1	0	0	100	-100	T
HBP1	0	100	0	100	T
ZEB1	0	100	0	100	T
MAPK14	0	100	0	100	I
MAPK3	0	0	100	-100	I
ABL1	0	0	100	-100	I
CDK2	0	0	100	-100	I
KITLG	0	0	100	-100	I
RPS6KB1	0	100	0	100	I
APLF	0	100	0	100	I
CREBBP	0	0	100	-100	I
PARP1	0	100	0	100	I
HDAC1	0	0	100	-100	I
PLK1	0	0	100	-100	I
YAP1	0	0	100	-100	I
ERBB4	0	0	100	-100	I
BLVRA	0	100	0	100	I
RXRB	0	0	100	-100	I
PRKCB	0	100	0	100	I
ROCK2	0	0	100	-100	I
EDNRA	0	100	0	100	I
PRPF4B	0	0	100	-100	I
HOXB8	0	0	100	-100	I
PCBD1	0	100	0	100	I
AAK1	0	0	100	-100	I
STK17A	0	100	0	100	I
BMP1	0	100	0	100	I
PIK3CA	0	100	0	100	I
TNC	0	100	0	100	I
COL3A1	0	100	0	100	I
PCOLCE	0	100	0	100	I
CD44	0	100	0	100	I
SHB	0	100	0	100	I
ZNF521	0	100	0	100	I
CBX4	0	0	100	-100	I
ZNF652	0	100	0	100	I
Perturbation	0	100	0	100	S
