Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
MYBL2	0	0	100	-100	T
USF2	0	0	100	-100	T
KLF5	0	0	100	-100	T
USF1	0	0	100	-100	T
KLF6	0	0	100	-100	T
SP1	0	0	100	-100	T
TFAP4	0	0	100	-100	T
MYCN	0	0	100	-100	T
MEIS1	0	0	100	-100	T
EBF1	0	0	100	-100	T
KDM5B	0	0	100	-100	T
POU5F1	0	0	100	-100	T
ZBED1	0	0	100	-100	T
TFAP2A	0	0	100	-100	T
TP73	0	0	100	-100	T
EGR1	0	0	100	-100	T
HBP1	0	100	0	100	T
TEAD1	0	0	100	-100	T
E2F1	0	0	100	-100	T
TAF1	0	100	0	100	T
MEF2B	0	100	0	100	T
HOXB13	0	0	100	-100	T
RARA	0	0	100	-100	T
FOS	0	0	100	-100	T
NANOG	0	0	100	-100	T
E2F4	0	100	0	100	T
MEF2C	0	0	100	-100	T
MTA1	0	100	0	100	T
BCL11A	0	100	0	100	T
LYL1	0	0	100	-100	T
ZEB1	0	100	0	100	T
MNT	0	0	100	-100	T
PAX5	0	100	0	100	T
SP3	0	0	100	-100	T
STAT3	0	100	0	100	T
BACH2	0	100	0	100	T
AR	0	100	0	100	T
ZEB2	0	100	0	100	T
GFI1B	0	0	100	-100	T
SP2	0	0	100	-100	T
NR5A2	0	100	0	100	T
MEF2A	0	0	100	-100	T
CREM	0	100	0	100	T
BACH1	0	100	0	100	T
SNAI2	0	0	100	-100	T
TCF4	0	0	100	-100	T
IRF3	0	0	100	-100	T
PBX2	0	0	100	-100	T
POU2F2	0	0	100	-100	T
MAPK14	0	100	0	100	I
MAPK1	0	100	0	100	I
AKT1	0	100	0	100	I
SMAD2	0	100	0	100	I
ATF2	0	100	0	100	I
IFIH1	0	0	100	-100	I
ZDHHC9	0	0	100	-100	I
AXIN1	0	0	100	-100	I
MAVS	0	0	100	-100	I
PARP1	0	100	0	100	I
RB1	0	0	100	-100	I
GSK3A	0	0	100	-100	I
YAP1	0	0	100	-100	I
ATF3	0	100	0	100	I
PRKCD	0	0	100	-100	I
CEBPA	0	0	100	-100	I
INS	0	100	0	100	I
MAX	0	0	100	-100	I
NRAS	0	0	100	-100	I
NR0B2	0	100	0	100	I
NR2F2	0	100	0	100	I
NR4A1	0	100	0	100	I
PPP1CC	0	100	0	100	I
ADCYAP1	0	100	0	100	I
DYRK1B	0	0	100	-100	I
S1PR2	0	100	0	100	I
MMP9	0	100	0	100	I
POU2AF1	0	0	100	-100	I
YY1	0	100	0	100	I
FHL5	0	100	0	100	I
HMGB1	0	0	100	-100	I
HOXD9	0	0	100	-100	I
COL6A1	0	0	100	-100	I
CD44	0	0	100	-100	I
CDKL5	0	0	100	-100	I
HDAC5	0	100	0	100	I
SREBF1	0	100	0	100	I
PCSK1	0	100	0	100	I
FBXO22	0	0	100	-100	I
ZNF521	0	100	0	100	I
TKFC	0	100	0	100	I
PRDM1	0	0	100	-100	I
Perturbation	0	100	0	100	S
