Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
SREBF1	0	0	100	-100	T
SREBF2	0	0	100	-100	T
TFAP2A	0	0	100	-100	T
SP1	0	0	100	-100	T
NANOG	0	0	100	-100	T
SOX2	0	0	100	-100	T
HNF1B	0	0	100	-100	T
KLF5	0	0	100	-100	T
PPARA	0	0	100	-100	T
FOS	0	0	100	-100	T
TCF12	0	0	100	-100	T
HNF4A	0	0	100	-100	T
AHR	0	0	100	-100	T
EGR1	0	0	100	-100	T
CREB3	0	100	0	100	T
FOXO3	0	100	0	100	T
ELF3	0	0	100	-100	T
RBPJ	0	0	100	-100	T
KMT2A	0	0	100	-100	T
POU5F1	0	0	100	-100	T
RUNX2	0	0	100	-100	T
CREB1	0	0	100	-100	T
HNF1A	0	0	100	-100	T
IRF4	0	0	100	-100	T
BCL3	0	0	100	-100	T
ATF7	0	100	0	100	T
HSF1	0	0	100	-100	T
HIF1A	0	0	100	-100	T
ATF3	0	100	0	100	T
HMBOX1	0	0	100	-100	T
NFYB	0	0	100	-100	T
NR4A1	0	0	100	-100	T
USF1	0	0	100	-100	T
TCF4	0	0	100	-100	T
GABPA	0	100	0	100	T
STAT1	0	0	100	-100	T
ESR1	0	0	100	-100	T
SP3	0	0	100	-100	T
TEAD2	0	100	0	100	T
POU2F2	0	100	0	100	T
SSRP1	0	0	100	-100	T
YY1	0	0	100	-100	T
MAPK1	0	0	100	-100	I
MMP14	0	0	100	-100	I
PRKDC	0	0	100	-100	I
PAK1	0	0	100	-100	I
CDK1	0	100	0	100	I
JAK1	0	0	100	-100	I
CAMKK1	0	0	100	-100	I
GSK3B	0	100	0	100	I
CREBBP	0	0	100	-100	I
CSNK2A1	0	100	0	100	I
RB1	0	0	100	-100	I
SOCS3	0	0	100	-100	I
YAP1	0	100	0	100	I
SUMO1	0	100	0	100	I
ERBB4	0	0	100	-100	I
BRAF	0	0	100	-100	I
VAV1	0	0	100	-100	I
IFNGR1	0	100	0	100	I
LRP6	0	0	100	-100	I
VEGFD	0	0	100	-100	I
PRKAB1	0	100	0	100	I
RPS6KA2	0	0	100	-100	I
PCBD1	0	0	100	-100	I
CAMK2G	0	100	0	100	I
BMP1	0	0	100	-100	I
PAX7	0	0	100	-100	I
PKM	0	0	100	-100	I
CD44	0	0	100	-100	I
MGP	0	100	0	100	I
TP63	0	100	0	100	I
FOSL1	0	0	100	-100	I
PTP4A1	0	0	100	-100	I
KEAP1	0	0	100	-100	I
ZNF652	0	100	0	100	I
NS1	0	100	0	100	S
