Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
GFI1B	0	100	0	100	T
FOXO1	0	0	100	-100	T
EGR1	0	100	0	100	T
ZEB1	0	0	100	-100	T
KLF6	0	100	0	100	T
GATA2	0	0	100	-100	T
E2F6	0	0	100	-100	T
SP4	0	100	0	100	T
CREM	0	100	0	100	T
ZEB2	0	0	100	-100	T
CEBPA	0	100	0	100	T
TEAD4	0	100	0	100	T
ESR1	0	0	100	-100	T
SP3	0	0	100	-100	T
CTCF	0	0	100	-100	T
GATA3	0	100	0	100	T
MEF2C	0	100	0	100	T
FOXP1	0	0	100	-100	T
NR5A2	0	100	0	100	T
MAF	0	100	0	100	T
USF1	0	100	0	100	T
IRF2	0	0	100	-100	T
MAX	0	100	0	100	T
TAF1	0	100	0	100	T
PKNOX1	0	100	0	100	T
MTA2	0	100	0	100	T
HNF1A	0	0	100	-100	T
USF2	0	100	0	100	T
MEIS1	0	100	0	100	T
HNF1B	0	100	0	100	T
MEF2B	0	100	0	100	T
TEAD2	0	100	0	100	T
TEAD1	0	100	0	100	T
MTA1	0	0	100	-100	T
KLF5	0	100	0	100	T
BCL3	0	100	0	100	T
CREB1	0	0	100	-100	T
E2F7	0	100	0	100	T
NR2F1	0	0	100	-100	T
STAT2	0	100	0	100	T
MYBL2	0	0	100	-100	T
RBPJ	0	100	0	100	T
MEIS2	0	100	0	100	T
IRF4	0	100	0	100	T
CUX1	0	100	0	100	T
CREB3	0	100	0	100	T
ELF3	0	100	0	100	T
KLF1	0	0	100	-100	T
CREB3L1	0	0	100	-100	T
IRF1	0	0	100	-100	T
MAPK14	50	50	0	50	I
JAK2	50	0	50	-50	I
MAPK1	0	100	0	100	I
PAK1	0	100	0	100	I
PAX6	0	100	0	100	I
CDK1	0	0	100	-100	I
ATF2	0	0	100	-100	I
APLF	50	0	50	-50	I
GSK3B	0	0	100	-100	I
CREBBP	0	0	100	-100	I
PARP1	50	0	50	-50	I
CCL8	50	50	0	50	I
RB1	0	0	100	-100	I
CD40LG	50	50	0	50	I
SIRT1	0	0	100	-100	I
YAP1	0	100	0	100	I
SUMO1	50	0	50	-50	I
ZBTB16	50	0	50	-50	I
ATF3	0	0	100	-100	I
GNRH1	50	0	50	-50	I
JAK3	50	50	0	50	I
SUFU	50	0	50	-50	I
IL3	50	0	50	-50	I
NR2F2	0	0	100	-100	I
NR4A1	0	0	100	-100	I
SMAD5	50	0	50	-50	I
ADCYAP1	0	0	100	-100	I
CAMK2A	50	0	50	-50	I
YWHAH	50	0	50	-50	I
PCBD1	0	100	0	100	I
STK17A	0	100	0	100	I
CAMK2G	50	0	50	-50	I
GATA1	50	50	0	50	I
YWHAE	50	0	50	-50	I
CTBP1	0	0	100	-100	I
FHL5	0	100	0	100	I
HMGB1	0	100	0	100	I
HOXD9	0	100	0	100	I
IRF2BP2	0	0	100	-100	I
PTP4A3	50	50	0	50	I
CCNE1	50	0	50	-50	I
HIPK4	0	100	0	100	I
NFATC3	50	50	0	50	I
CCR10	50	50	0	50	I
FRAT2	50	50	0	50	I
PTPRG	50	50	0	50	I
SPRED1	50	50	0	50	I
PRAM1	50	50	0	50	I
Perturbation	0	100	0	100	S
