Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
TEAD1	0	0	100	-100	T
IRF1	0	100	0	100	T
ZEB2	0	100	0	100	T
HMBOX1	0	100	0	100	T
FOXP1	0	100	0	100	T
TEAD4	0	0	100	-100	T
MEF2B	0	0	100	-100	T
E2F6	0	100	0	100	T
MEF2C	0	0	100	-100	T
SSRP1	0	100	0	100	T
ZEB1	0	100	0	100	T
TCF12	0	0	100	-100	T
LYL1	0	0	100	-100	T
POU5F1	0	0	100	-100	T
HOXB13	0	0	100	-100	T
NFATC1	0	0	100	-100	T
RBPJ	0	0	100	-100	T
CEBPG	0	0	100	-100	T
FOXK2	0	100	0	100	T
TP53	0	0	100	-100	T
MAFB	0	0	100	-100	T
POU2F2	0	0	100	-100	T
MYBL2	0	0	100	-100	T
IKZF1	0	0	100	-100	T
GATA3	0	0	100	-100	T
MEF2A	0	0	100	-100	T
PBX3	0	0	100	-100	T
NR5A2	0	0	100	-100	T
SP2	0	100	0	100	T
MAZ	0	100	0	100	T
MAFK	0	0	100	-100	T
MXI1	0	100	0	100	T
CEBPA	0	0	100	-100	T
CUX1	0	0	100	-100	T
GFI1B	0	0	100	-100	T
ESR1	0	0	100	-100	T
KLF6	0	0	100	-100	T
NEUROD1	0	100	0	100	T
CTCF	0	0	100	-100	T
IRF4	0	100	0	100	T
SNAI2	0	100	0	100	T
HNF1B	0	0	100	-100	T
FOS	0	0	100	-100	T
MAX	0	0	100	-100	T
GATA6	0	0	100	-100	T
E2F2	0	0	100	-100	T
PRKACA	0	100	0	100	I
CAPN1	0	100	0	100	I
CDK1	0	100	0	100	I
CCNA2	0	0	100	-100	I
ATF2	0	100	0	100	I
MAPK8	0	100	0	100	I
CSNK2A1	0	100	0	100	I
SIRT1	0	100	0	100	I
GSK3A	0	100	0	100	I
IL4R	0	100	0	100	I
HDAC1	0	100	0	100	I
UBE2I	0	0	100	-100	I
YAP1	0	0	100	-100	I
SUMO1	0	0	100	-100	I
ZBTB16	0	100	0	100	I
ATF3	0	100	0	100	I
ERBB4	0	0	100	-100	I
SPI1	0	100	0	100	I
SUFU	0	100	0	100	I
PTPN6	0	0	100	-100	I
FGF4	0	0	100	-100	I
DUSP19	0	100	0	100	I
KSR2	0	100	0	100	I
RASGRF1	0	100	0	100	I
HOXB8	0	0	100	-100	I
PCBD1	0	0	100	-100	I
STK17A	0	0	100	-100	I
TFDP1	0	0	100	-100	I
POU2AF1	0	0	100	-100	I
CEBPE	0	0	100	-100	I
BMP1	0	100	0	100	I
YY1	0	100	0	100	I
RGMA	0	100	0	100	I
RBL1	0	100	0	100	I
CASP7	0	100	0	100	I
EPAS1	0	0	100	-100	I
DZIP3	0	0	100	-100	I
HIF1AN	0	100	0	100	I
MTA3	0	100	0	100	I
ZNF652	0	100	0	100	I
Perturbation	0	100	0	100	S
